#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-11-26T22:01:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54764d6512f9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJS/208/9&tab:{J/ApJS/208/9/table5}&key:source=J/ApJS/208/9/table5&HTTPPRM:&&-ref=VIZ54764d6512f9&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-source=J/ApJS/208/9/table5
#-order=I
#-out=SpT
#-out=Teff
#-out=BCV
#-out=U-B
#-out=B-V
#-out=V-Rc
#-out=V-Ic
#-out=V-J
#-out=V-H
#-out=V-Ks
#-out=K-W1
#-out=K-W2
#-out=K-W3
#-out=K-W4
#
#
#RESOURCE=yCat_22080009
#Name: J/ApJS/208/9
#Title: Intrinsic colors and temperatures of PMS stars (Pecaut+, 2013)
#Table	J_ApJS_208_9_table5:
#Name: J/ApJS/208/9/table5
#Title: Intrinsic colors of O9-M9 dwarfs and adopted Teff, bolometric correction values
#Column	SpT	(A5)	MK spectral type	[ucd=src.spType]
#Column	Teff	(I5)	[2450/34000] Effective temperature	[ucd=phys.temperature.effective]
#Column	BCV	(F5.2)	[-5.73/0] The V band bolometric correction	[ucd=phot.mag.bc]
#Column	U-B	(F6.3)	[-1.114/1.433]? Johnson color index U-B	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F6.3)	[-0.318/2.13]? Johnson color index B-V	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-Rc	(F6.3)	[-0.115/2.18]? Johnson-Cousins color index V-Rc	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-Ic	(F6.3)	[-0.369/4.6] Johnson-Cousins color index V-Ic	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	V-J	(F6.3)	[-0.765/7.617] Johnson-2MASS color index V-J	[ucd=phot.color;em.opt.V;em.IR.J]
#Column	V-H	(F6.3)	[-0.929/8.366] Johnson-2MASS color index V-H	[ucd=phot.color;em.opt.V;em.IR.H]
#Column	V-Ks	(F6.3)	[-1/8.85] Johnson-2MASS color index V-Ks	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	K-W1	(F6.3)	[0.023/0.212]? Johnson-WISE color index K-W1	[ucd=phot.color;em.IR;em.IR]
#Column	K-W2	(F6.3)	[0.001/0.38]? Johnson-WISE color index K-W2	[ucd=phot.color;em.IR;em.IR]
#Column	K-W3	(F6.3)	[-0.021/0.544]? Johnson-WISE color index K-W3	[ucd=phot.color;em.IR;em.IR]
#Column	K-W4	(F6.3)	[0.044/0.669]? Johnson-WISE color index K-W4	[ucd=phot.color;em.IR;em.IR]
SpT|Teff|BCV|U-B|B-V|V-Rc|V-Ic|V-J|V-H|V-Ks|K-W1|K-W2|K-W3|K-W4
 |K|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag|mag
-----|-----|-----|------|------|------|------|------|------|------|------|------|------|------
O9V  |34000|-3.20|-1.114|-0.318|      |-0.369|-0.765|-0.929|-1.000|      |      |      |
O9.5V|32000|-3.06|-1.087|-0.312|      |-0.361|-0.747|-0.908|-0.977|      |      |      |
B0V  |31500|-3.03|-1.067|-0.307|      |-0.355|-0.732|-0.891|-0.958|      |      |      |
B0.5V|29000|-2.87|-1.026|-0.295|      |-0.338|-0.697|-0.850|-0.913|      |      |      |
B1V  |26000|-2.61|-0.995|-0.278|-0.115|-0.325|-0.667|-0.815|-0.874|      |      |      |
B1.5V|24800|-2.43|-0.910|-0.252|-0.114|-0.281|-0.573|-0.705|-0.752|      |      |      |
B2V  |20600|-2.06|-0.790|-0.210|-0.094|-0.230|-0.457|-0.570|-0.602|      |      |      |
B2.5V|18500|-1.79|-0.732|-0.198|-0.087|-0.210|-0.413|-0.518|-0.544|      |      |      |
B3V  |17000|-1.58|-0.673|-0.178|-0.080|-0.192|-0.373|-0.471|-0.492|      |      |      |
B4V  |16700|-1.53|-0.619|-0.165|-0.074|-0.176|-0.339|-0.431|-0.447|      |      |      |
B5V  |15700|-1.37|-0.581|-0.156|-0.070|-0.165|-0.315|-0.404|-0.417|      |      |      |
B6V  |14500|-1.16|-0.504|-0.140|-0.062|-0.145|-0.270|-0.351|-0.358|      |      |      |
B7V  |14000|-1.07|-0.459|-0.128|-0.058|-0.133|-0.244|-0.321|-0.325|      |      |      |
B8V  |12500|-0.79|-0.364|-0.109|-0.048|-0.108|-0.190|-0.257|-0.254|      |      |      |
B9V  |10700|-0.44|-0.200|-0.070|-0.028|-0.061|-0.087|-0.137|-0.121|      |      |      |
B9.5V|10400|-0.38|-0.130|-0.050|-0.017|-0.035|-0.025|-0.069|-0.048|      |      |      |
A0V  | 9700|-0.24|-0.005| 0.000| 0.001| 0.004| 0.045| 0.013| 0.041|      |      |      |
A1V  | 9200|-0.15| 0.033| 0.043| 0.019| 0.044| 0.094| 0.070| 0.101|      |      |      |
A2V  | 8840|-0.10| 0.063| 0.074| 0.042| 0.091| 0.164| 0.154| 0.188|      |      |      |
A3V  | 8550|-0.06| 0.077| 0.090| 0.050| 0.108| 0.196| 0.194| 0.228|      |      |      |
A4V  | 8270|-0.04| 0.097| 0.140| 0.078| 0.164| 0.294| 0.316| 0.353|      |      |      |
A5V  | 8080|-0.03| 0.100| 0.160| 0.089| 0.186| 0.334| 0.365| 0.403|      |      |      |
A6V  | 8000|-0.02| 0.098| 0.170| 0.094| 0.197| 0.354| 0.390| 0.428|      |      |      |
A7V  | 7800| 0.00| 0.091| 0.210| 0.117| 0.242| 0.433| 0.488| 0.528|      |      |      |
A8V  | 7500| 0.00| 0.082| 0.250| 0.140| 0.288| 0.509| 0.584| 0.626|      |      |      |
A9V  | 7440| 0.00| 0.080| 0.255| 0.143| 0.294| 0.517| 0.595| 0.638|      |      |      |
F0V  | 7200|-0.01| 0.053| 0.294| 0.166| 0.339| 0.589| 0.687| 0.732| 0.023| 0.037|-0.021| 0.054
F1V  | 7030|-0.01| 0.021| 0.334| 0.190| 0.385| 0.662| 0.781| 0.828| 0.027| 0.036|-0.019| 0.052
